'East','North','Notes: road segment ID 87388, lane 4, lane segment ID 5727059972, distances from origin (42.5829000, -83.6811000) in meters'
921.190,-51.493
921.394,-52.165
921.596,-52.836
921.795,-53.508
921.991,-54.180
922.185,-54.853
922.376,-55.526
922.564,-56.199
922.750,-56.873
922.932,-57.546
923.112,-58.221
923.288,-58.896
923.461,-59.572
923.632,-60.249
923.799,-60.926
923.962,-61.604
924.123,-62.283
924.280,-62.962
924.433,-63.643
924.583,-64.325
924.729,-65.007
924.872,-65.692
925.013,-66.383
925.151,-67.074
925.286,-67.765
925.417,-68.457
925.546,-69.149
925.672,-69.841
925.795,-70.534
925.915,-71.229
926.033,-71.922
926.147,-72.618
926.260,-73.313
926.369,-74.009
926.476,-74.706
926.580,-75.403
926.682,-76.102
926.781,-76.800
926.878,-77.500
926.973,-78.200
927.066,-78.901
927.156,-79.602
927.244,-80.305
927.329,-81.008
927.413,-81.709
927.494,-82.409
927.573,-83.109
927.650,-83.808
927.725,-84.508
927.798,-85.206
927.867,-85.904
927.935,-86.602
928.001,-87.300
928.064,-87.996
928.125,-88.693
928.183,-89.389
928.239,-90.086
928.293,-90.782
928.344,-91.477
928.393,-92.173
928.439,-92.868
928.483,-93.563
928.524,-94.259
928.564,-94.959
928.601,-95.659
928.636,-96.359
928.670,-97.059
928.701,-97.761
928.730,-98.461
928.757,-99.164
928.781,-99.865
928.804,-100.568
928.823,-101.270
928.841,-101.973
928.855,-102.677
928.868,-103.380
928.878,-104.084
928.884,-104.788
928.888,-105.493
928.890,-106.197
928.888,-106.902
928.884,-107.608
928.877,-108.313
928.866,-109.018
928.853,-109.723
928.837,-110.429
928.817,-111.134
928.794,-111.838
928.770,-112.541
928.741,-113.244
928.711,-113.947
928.678,-114.650
928.642,-115.352
928.604,-116.054
928.564,-116.755
928.521,-117.457
928.476,-118.158
928.429,-118.860
928.381,-119.560
928.331,-120.260
928.278,-120.961
928.224,-121.661
928.169,-122.361
928.111,-123.061
928.052,-123.761
927.992,-124.460
927.931,-125.160
927.869,-125.860
927.805,-126.560
927.740,-127.256
927.674,-127.952
927.607,-128.647
927.539,-129.343
927.469,-130.037
927.397,-130.732
927.323,-131.426
927.246,-132.120
927.168,-132.815
927.086,-133.508
927.003,-134.203
926.915,-134.896
926.826,-135.590
926.732,-136.284
926.635,-136.978
926.535,-137.671
926.431,-138.365
926.323,-139.059
926.211,-139.752
926.095,-140.446
925.973,-141.143
925.847,-141.838
925.716,-142.532
925.581,-143.225
925.443,-143.915
925.301,-144.605
925.156,-145.294
925.006,-145.981
924.854,-146.667
924.699,-147.351
924.540,-148.035
924.379,-148.719
924.215,-149.400
924.049,-150.082
923.881,-150.762
923.710,-151.442
923.537,-152.121
923.363,-152.800
923.187,-153.478
923.009,-154.156
922.829,-154.833
922.649,-155.510
922.467,-156.190
922.283,-156.867
922.098,-157.546
921.910,-158.223
921.722,-158.900
921.531,-159.576
921.339,-160.251
921.145,-160.927
920.949,-161.601
920.750,-162.275
920.550,-162.949
920.347,-163.622
